Var1,Var2
738932,1
738932.003472222,1
738932.006944444,1
738932.010416667,1
738932.013888889,1
738932.017361111,1
738932.020833333,3
738932.024305556,0
738932.027777778,0
738932.03125,1
738932.034722222,1
738932.038194444,1
738932.041666667,0
738932.045138889,1
738932.048611111,1
738932.052083333,1
738932.055555556,1
738932.059027778,1
738932.0625,1
738932.065972222,1
738932.069444444,1
738932.072916667,1
738932.076388889,1
738932.079861111,0
738932.083333333,1
738932.086805556,3
738932.090277778,0
738932.09375,3
738932.097222222,1
738932.100694444,1
738932.104166667,1
738932.107638889,3
738932.111111111,3
738932.114583333,0
738932.118055556,0
738932.121527778,3
738932.125,0
738932.128472222,3
738932.131944444,3
738932.135416667,3
738932.138888889,0
738932.142361111,3
738932.145833333,1
738932.149305556,1
738932.152777778,1
738932.15625,1
738932.159722222,1
738932.163194444,0
738932.166666667,1
738932.170138889,1
738932.173611111,1
738932.177083333,1
738932.180555556,1
738932.184027778,1
738932.1875,1
738932.190972222,0
738932.194444444,1
738932.197916667,1
738932.201388889,1
738932.204861111,1
738932.208333333,1
738932.211805556,3
738932.215277778,3
738932.21875,3
738932.222222222,3
738932.225694444,3
738932.229166667,3
738932.232638889,1
738932.236111111,1
738932.239583333,3
738932.243055556,3
738932.246527778,3
738932.25,3
738932.253472222,3
738932.256944444,1
738932.260416667,3
738932.263888889,3
738932.267361111,3
738932.270833333,1
738932.274305556,1
738932.277777778,3
738932.28125,3
738932.284722222,3
738932.288194444,3
738932.291666667,3
738932.295138889,3
738932.298611111,3
738932.302083333,3
738932.305555556,3
738932.309027778,3
738932.3125,3
738932.315972222,3
738932.319444444,3
738932.322916667,3
738932.326388889,3
738932.329861111,3
738932.333333333,3
738932.336805556,3
738932.340277778,3
738932.34375,3
738932.347222222,3
738932.350694444,3
738932.354166667,3
738932.357638889,3
738932.361111111,1
738932.364583333,1
738932.368055556,1
738932.371527778,1
738932.375,3
738932.378472222,3
738932.381944444,1
738932.385416667,1
738932.388888889,1
738932.392361111,1
738932.395833333,3
738932.399305556,1
738932.402777778,3
738932.40625,1
738932.409722222,3
738932.413194444,1
738932.416666667,1
738932.420138889,3
738932.423611111,1
738932.427083333,1
738932.430555556,1
738932.434027778,3
738932.4375,1
738932.440972222,1
738932.444444444,1
738932.447916667,1
738932.451388889,1
738932.454861111,1
738932.458333333,1
738932.461805556,1
738932.465277778,1
738932.46875,1
738932.472222222,0
738932.475694444,1
738932.479166667,1
738932.482638889,1
738932.486111111,1
738932.489583333,1
738932.493055556,1
738932.496527778,1
738932.5,1
738932.503472222,1
738932.506944444,1
738932.510416667,1
738932.513888889,1
738932.517361111,1
738932.520833333,1
738932.524305556,1
738932.527777778,1
738932.53125,1
738932.534722222,1
738932.538194444,1
738932.541666667,1
738932.545138889,1
738932.548611111,1
738932.552083333,1
738932.555555556,1
738932.559027778,1
738932.5625,1
738932.565972222,1
738932.569444444,1
738932.572916667,1
738932.576388889,1
738932.579861111,1
738932.583333333,1
738932.586805556,1
738932.590277778,1
738932.59375,1
738932.597222222,1
738932.600694444,1
738932.604166667,1
738932.607638889,1
738932.611111111,1
738932.614583333,1
738932.618055556,1
738932.621527778,1
738932.625,1
738932.628472222,1
738932.631944444,1
738932.635416667,1
738932.638888889,1
738932.642361111,1
738932.645833333,1
738932.649305556,1
738932.652777778,1
738932.65625,1
738932.659722222,1
738932.663194444,1
738932.666666667,1
738932.670138889,1
738932.673611111,1
738932.677083333,1
738932.680555556,1
738932.684027778,1
738932.6875,1
738932.690972222,1
738932.694444444,1
738932.697916667,1
738932.701388889,1
738932.704861111,1
738932.708333333,1
738932.711805556,1
738932.715277778,1
738932.71875,1
738932.722222222,1
738932.725694444,1
738932.729166667,1
738932.732638889,1
738932.736111111,1
738932.739583333,1
738932.743055556,1
738932.746527778,1
738932.75,1
738932.753472222,1
738932.756944444,1
738932.760416667,1
738932.763888889,1
738932.767361111,1
738932.770833333,1
738932.774305556,1
738932.777777778,1
738932.78125,1
738932.784722222,1
738932.788194444,1
738932.791666667,1
738932.795138889,1
738932.798611111,3
738932.802083333,1
738932.805555556,1
738932.809027778,1
738932.8125,1
738932.815972222,1
738932.819444444,1
738932.822916667,1
738932.826388889,1
738932.829861111,1
738932.833333333,2
738932.836805556,2
738932.840277778,1
738932.84375,1
738932.847222222,1
738932.850694444,1
738932.854166667,1
738932.857638889,1
738932.861111111,1
738932.864583333,1
738932.868055556,1
738932.871527778,1
738932.875,1
738932.878472222,1
738932.881944444,1
738932.885416667,1
738932.888888889,1
738932.892361111,1
738932.895833333,1
738932.899305556,1
738932.902777778,1
738932.90625,1
738932.909722222,1
738932.913194444,1
738932.916666667,1
738932.920138889,1
738932.923611111,2
738932.927083333,1
